## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647649.bam] OUTPUT=outputs/SRR11647649_dedp.bam METRICS_FILE=outputs/SRR11647649_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri May 01 20:09:33 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	30160	369535410	2442587	410884	8695	46138623	0	0.124862	1353921242

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	282670827	282670827
2.0	1.761141	36239289	36239289
3.0	2.340476	3954748	3954748
4.0	2.781431	413979	413979
5.0	3.11706	60159	60159
6.0	3.372521	19311	19311
7.0	3.566963	10497	10497
8.0	3.71496	7103	7103
9.0	3.827607	4854	4854
10.0	3.913347	3381	3381
11.0	3.978608	2542	2542
12.0	4.02828	1904	1904
13.0	4.066087	1446	1446
14.0	4.094864	1127	1127
15.0	4.116768	851	851
16.0	4.133439	678	678
17.0	4.146128	514	514
18.0	4.155787	444	444
19.0	4.163138	347	347
20.0	4.168733	302	302
21.0	4.172992	248	248
22.0	4.176234	222	222
23.0	4.178701	152	152
24.0	4.180579	156	156
25.0	4.182009	129	129
26.0	4.183097	145	145
27.0	4.183925	121	121
28.0	4.184555	83	83
29.0	4.185035	69	69
30.0	4.1854	79	79
31.0	4.185678	63	63
32.0	4.18589	67	67
33.0	4.186051	54	54
34.0	4.186173	49	49
35.0	4.186266	23	23
36.0	4.186337	53	53
37.0	4.186391	32	32
38.0	4.186433	42	42
39.0	4.186464	32	32
40.0	4.186488	31	31
41.0	4.186506	34	34
42.0	4.18652	19	19
43.0	4.18653	23	23
44.0	4.186538	11	11
45.0	4.186544	21	21
46.0	4.186549	18	18
47.0	4.186552	15	15
48.0	4.186555	11	11
49.0	4.186557	22	22
50.0	4.186559	15	15
51.0	4.18656	14	14
52.0	4.186561	12	12
53.0	4.186561	12	12
54.0	4.186562	20	20
55.0	4.186562	13	13
56.0	4.186563	15	15
57.0	4.186563	13	13
58.0	4.186563	10	10
59.0	4.186563	11	11
60.0	4.186563	10	10
61.0	4.186563	11	11
62.0	4.186563	5	5
63.0	4.186564	9	9
64.0	4.186564	8	8
65.0	4.186564	8	8
66.0	4.186564	6	6
67.0	4.186564	6	6
68.0	4.186564	5	5
69.0	4.186564	4	4
70.0	4.186564	7	7
71.0	4.186564	4	4
72.0	4.186564	7	7
73.0	4.186564	6	6
74.0	4.186564	6	6
75.0	4.186564	5	5
76.0	4.186564	7	7
77.0	4.186564	4	4
78.0	4.186564	10	10
79.0	4.186564	6	6
80.0	4.186564	4	4
81.0	4.186564	3	3
82.0	4.186564	5	5
83.0	4.186564	4	4
84.0	4.186564	7	7
85.0	4.186564	3	3
86.0	4.186564	5	5
87.0	4.186564	3	3
88.0	4.186564	2	2
89.0	4.186564	0	0
90.0	4.186564	5	5
91.0	4.186564	2	2
92.0	4.186564	5	5
