## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647651.bam] OUTPUT=outputs/SRR11647651_dedp.bam METRICS_FILE=outputs/SRR11647651_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 06:16:56 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	27794	361741686	2263904	310644	7238	37829804	0	0.104583	1606741339

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	290149048	290149048
2.0	1.798404	30542396	30542396
3.0	2.435854	2819820	2819820
4.0	2.944797	281058	281058
5.0	3.351139	50945	50945
6.0	3.675564	21185	21185
7.0	3.934587	12516	12516
8.0	4.141392	8367	8367
9.0	4.306506	5969	5969
10.0	4.438333	4316	4316
11.0	4.543585	3348	3348
12.0	4.627619	2523	2523
13.0	4.694711	1897	1897
14.0	4.748279	1448	1448
15.0	4.791047	1195	1195
16.0	4.825193	906	906
17.0	4.852456	725	725
18.0	4.874222	581	581
19.0	4.891601	463	463
20.0	4.905476	390	390
21.0	4.916554	311	311
22.0	4.925399	262	262
23.0	4.93246	195	195
24.0	4.938098	195	195
25.0	4.9426	153	153
26.0	4.946194	132	132
27.0	4.949063	121	121
28.0	4.951354	122	122
29.0	4.953183	84	84
30.0	4.954644	82	82
31.0	4.95581	73	73
32.0	4.95674	71	71
33.0	4.957484	77	77
34.0	4.958077	50	50
35.0	4.958551	50	50
36.0	4.958929	39	39
37.0	4.959231	38	38
38.0	4.959472	42	42
39.0	4.959665	38	38
40.0	4.959819	31	31
41.0	4.959941	36	36
42.0	4.960039	33	33
43.0	4.960117	22	22
44.0	4.96018	25	25
45.0	4.96023	24	24
46.0	4.96027	21	21
47.0	4.960301	19	19
48.0	4.960327	11	11
49.0	4.960347	13	13
50.0	4.960363	20	20
51.0	4.960376	19	19
52.0	4.960386	15	15
53.0	4.960395	9	9
54.0	4.960401	12	12
55.0	4.960407	10	10
56.0	4.960411	16	16
57.0	4.960414	14	14
58.0	4.960417	10	10
59.0	4.960419	14	14
60.0	4.960421	12	12
61.0	4.960422	5	5
62.0	4.960423	7	7
63.0	4.960424	8	8
64.0	4.960425	10	10
65.0	4.960425	7	7
66.0	4.960426	7	7
67.0	4.960426	4	4
68.0	4.960426	6	6
69.0	4.960426	4	4
70.0	4.960427	4	4
71.0	4.960427	9	9
72.0	4.960427	7	7
73.0	4.960427	1	1
74.0	4.960427	3	3
75.0	4.960427	2	2
76.0	4.960427	5	5
77.0	4.960427	1	1
78.0	4.960427	4	4
79.0	4.960427	2	2
80.0	4.960427	4	4
81.0	4.960427	3	3
82.0	4.960427	3	3
83.0	4.960427	2	2
84.0	4.960427	3	3
85.0	4.960427	4	4
86.0	4.960427	6	6
87.0	4.960427	4	4
88.0	4.960427	4	4
89.0	4.960427	1	1
90.0	4.960427	4	4
91.0	4.960427	2	2
92.0	4.960427	4	4
93.0	4.960427	1	1
94.0	4.960427	5	5
95.0	4.960427	4	4
96.0	4.960427	0	0
97.0	4.960427	1	1
98.0	4.960427	4	4
99.0	4.960427	6	6
100.0	4.960427	5	5
101.0	0	5	5
102.0	0	4	4
104.0	0	1	1
105.0	0	1	1
107.0	0	2	2
109.0	0	1	1
111.0	0	1	1
112.0	0	3	3
114.0	0	2	2
116.0	0	2	2
117.0	0	2	2
118.0	0	3	3
120.0	0	4	4
122.0	0	1	1
123.0	0	2	2
124.0	0	1	1
125.0	0	1	1
131.0	0	3	3
133.0	0	3	3
135.0	0	1	1
136.0	0	3	3
137.0	0	2	2
138.0	0	1	1
